,image,label_name,label
0,AID\Airport\airport_1.jpg,Airport,0
1,AID\Airport\airport_10.jpg,Airport,0
2,AID\Airport\airport_100.jpg,Airport,0
3,AID\Airport\airport_101.jpg,Airport,0
4,AID\Airport\airport_102.jpg,Airport,0
5,AID\Airport\airport_103.jpg,Airport,0
6,AID\Airport\airport_104.jpg,Airport,0
7,AID\Airport\airport_105.jpg,Airport,0
8,AID\Airport\airport_106.jpg,Airport,0
9,AID\Airport\airport_107.jpg,Airport,0
10,AID\Airport\airport_108.jpg,Airport,0
11,AID\Airport\airport_109.jpg,Airport,0
12,AID\Airport\airport_11.jpg,Airport,0
13,AID\Airport\airport_110.jpg,Airport,0
14,AID\Airport\airport_111.jpg,Airport,0
15,AID\Airport\airport_112.jpg,Airport,0
16,AID\Airport\airport_113.jpg,Airport,0
17,AID\Airport\airport_114.jpg,Airport,0
18,AID\Airport\airport_115.jpg,Airport,0
19,AID\Airport\airport_116.jpg,Airport,0
20,AID\Airport\airport_117.jpg,Airport,0
21,AID\Airport\airport_118.jpg,Airport,0
22,AID\Airport\airport_119.jpg,Airport,0
23,AID\Airport\airport_12.jpg,Airport,0
24,AID\Airport\airport_120.jpg,Airport,0
25,AID\Airport\airport_121.jpg,Airport,0
26,AID\Airport\airport_122.jpg,Airport,0
27,AID\Airport\airport_123.jpg,Airport,0
28,AID\Airport\airport_124.jpg,Airport,0
29,AID\Airport\airport_125.jpg,Airport,0
30,AID\Airport\airport_126.jpg,Airport,0
31,AID\Airport\airport_127.jpg,Airport,0
32,AID\Airport\airport_128.jpg,Airport,0
33,AID\Airport\airport_129.jpg,Airport,0
34,AID\Airport\airport_13.jpg,Airport,0
35,AID\Airport\airport_130.jpg,Airport,0
36,AID\Airport\airport_131.jpg,Airport,0
37,AID\Airport\airport_132.jpg,Airport,0
38,AID\Airport\airport_133.jpg,Airport,0
39,AID\Airport\airport_134.jpg,Airport,0
40,AID\Airport\airport_135.jpg,Airport,0
41,AID\Airport\airport_136.jpg,Airport,0
42,AID\Airport\airport_137.jpg,Airport,0
43,AID\Airport\airport_138.jpg,Airport,0
44,AID\Airport\airport_139.jpg,Airport,0
45,AID\Airport\airport_14.jpg,Airport,0
46,AID\Airport\airport_140.jpg,Airport,0
47,AID\Airport\airport_141.jpg,Airport,0
48,AID\Airport\airport_142.jpg,Airport,0
49,AID\Airport\airport_143.jpg,Airport,0
50,AID\Airport\airport_144.jpg,Airport,0
51,AID\Airport\airport_145.jpg,Airport,0
52,AID\Airport\airport_146.jpg,Airport,0
53,AID\Airport\airport_147.jpg,Airport,0
54,AID\Airport\airport_148.jpg,Airport,0
55,AID\Airport\airport_149.jpg,Airport,0
56,AID\Airport\airport_15.jpg,Airport,0
57,AID\Airport\airport_150.jpg,Airport,0
58,AID\Airport\airport_151.jpg,Airport,0
59,AID\Airport\airport_152.jpg,Airport,0
60,AID\Airport\airport_153.jpg,Airport,0
61,AID\Airport\airport_154.jpg,Airport,0
62,AID\Airport\airport_155.jpg,Airport,0
63,AID\Airport\airport_156.jpg,Airport,0
64,AID\Airport\airport_157.jpg,Airport,0
65,AID\Airport\airport_158.jpg,Airport,0
66,AID\Airport\airport_159.jpg,Airport,0
67,AID\Airport\airport_16.jpg,Airport,0
68,AID\Airport\airport_160.jpg,Airport,0
69,AID\Airport\airport_161.jpg,Airport,0
70,AID\Airport\airport_162.jpg,Airport,0
71,AID\Airport\airport_163.jpg,Airport,0
72,AID\Airport\airport_164.jpg,Airport,0
73,AID\Airport\airport_165.jpg,Airport,0
74,AID\Airport\airport_166.jpg,Airport,0
75,AID\Airport\airport_167.jpg,Airport,0
76,AID\Airport\airport_168.jpg,Airport,0
77,AID\Airport\airport_169.jpg,Airport,0
78,AID\Airport\airport_17.jpg,Airport,0
79,AID\Airport\airport_170.jpg,Airport,0
80,AID\Airport\airport_171.jpg,Airport,0
81,AID\Airport\airport_172.jpg,Airport,0
82,AID\Airport\airport_173.jpg,Airport,0
83,AID\Airport\airport_174.jpg,Airport,0
84,AID\Airport\airport_175.jpg,Airport,0
85,AID\Airport\airport_176.jpg,Airport,0
86,AID\Airport\airport_177.jpg,Airport,0
87,AID\Airport\airport_178.jpg,Airport,0
88,AID\Airport\airport_179.jpg,Airport,0
89,AID\Airport\airport_18.jpg,Airport,0
90,AID\Airport\airport_180.jpg,Airport,0
91,AID\Airport\airport_181.jpg,Airport,0
92,AID\Airport\airport_182.jpg,Airport,0
93,AID\Airport\airport_183.jpg,Airport,0
94,AID\Airport\airport_184.jpg,Airport,0
