image,label_name,label
AID\Airport\airport_1.jpg,Airport,0
AID\Airport\airport_101.jpg,Airport,0
AID\Airport\airport_102.jpg,Airport,0
AID\Airport\airport_103.jpg,Airport,0
AID\Airport\airport_105.jpg,Airport,0
AID\Airport\airport_107.jpg,Airport,0
AID\Airport\airport_108.jpg,Airport,0
AID\Airport\airport_109.jpg,Airport,0
AID\Airport\airport_11.jpg,Airport,0
AID\Airport\airport_110.jpg,Airport,0
AID\Airport\airport_111.jpg,Airport,0
AID\Airport\airport_112.jpg,Airport,0
AID\Airport\airport_113.jpg,Airport,0
AID\Airport\airport_114.jpg,Airport,0
AID\Airport\airport_116.jpg,Airport,0
AID\Airport\airport_118.jpg,Airport,0
AID\Airport\airport_119.jpg,Airport,0
AID\Airport\airport_12.jpg,Airport,0
AID\Airport\airport_121.jpg,Airport,0
AID\Airport\airport_122.jpg,Airport,0
AID\Airport\airport_123.jpg,Airport,0
AID\Airport\airport_124.jpg,Airport,0
AID\Airport\airport_127.jpg,Airport,0
AID\Airport\airport_128.jpg,Airport,0
AID\Airport\airport_129.jpg,Airport,0
AID\Airport\airport_13.jpg,Airport,0
AID\Airport\airport_130.jpg,Airport,0
AID\Airport\airport_131.jpg,Airport,0
AID\Airport\airport_132.jpg,Airport,0
AID\Airport\airport_133.jpg,Airport,0
AID\Airport\airport_134.jpg,Airport,0
AID\Airport\airport_135.jpg,Airport,0
AID\Airport\airport_136.jpg,Airport,0
AID\Airport\airport_137.jpg,Airport,0
AID\Airport\airport_138.jpg,Airport,0
AID\Airport\airport_139.jpg,Airport,0
AID\Airport\airport_14.jpg,Airport,0
AID\Airport\airport_140.jpg,Airport,0
AID\Airport\airport_141.jpg,Airport,0
AID\Airport\airport_142.jpg,Airport,0
AID\Airport\airport_144.jpg,Airport,0
AID\Airport\airport_145.jpg,Airport,0
AID\Airport\airport_146.jpg,Airport,0
AID\Airport\airport_147.jpg,Airport,0
AID\Airport\airport_148.jpg,Airport,0
AID\Airport\airport_149.jpg,Airport,0
AID\Airport\airport_15.jpg,Airport,0
AID\Airport\airport_150.jpg,Airport,0
AID\Airport\airport_152.jpg,Airport,0
AID\Airport\airport_153.jpg,Airport,0
AID\Airport\airport_154.jpg,Airport,0
AID\Airport\airport_155.jpg,Airport,0
AID\Airport\airport_156.jpg,Airport,0
AID\Airport\airport_157.jpg,Airport,0
AID\Airport\airport_159.jpg,Airport,0
AID\Airport\airport_16.jpg,Airport,0
AID\Airport\airport_160.jpg,Airport,0
AID\Airport\airport_161.jpg,Airport,0
AID\Airport\airport_162.jpg,Airport,0
AID\Airport\airport_163.jpg,Airport,0
AID\Airport\airport_164.jpg,Airport,0
AID\Airport\airport_165.jpg,Airport,0
AID\Airport\airport_166.jpg,Airport,0
AID\Airport\airport_167.jpg,Airport,0
AID\Airport\airport_168.jpg,Airport,0
AID\Airport\airport_17.jpg,Airport,0
AID\Airport\airport_172.jpg,Airport,0
AID\Airport\airport_173.jpg,Airport,0
AID\Airport\airport_175.jpg,Airport,0
AID\Airport\airport_177.jpg,Airport,0
AID\Airport\airport_178.jpg,Airport,0
AID\Airport\airport_179.jpg,Airport,0
AID\Airport\airport_18.jpg,Airport,0
AID\Airport\airport_180.jpg,Airport,0
AID\Airport\airport_183.jpg,Airport,0
AID\Airport\airport_184.jpg,Airport,0
AID\Airport\airport_187.jpg,Airport,0
AID\Airport\airport_188.jpg,Airport,0
AID\Airport\airport_189.jpg,Airport,0
AID\Airport\airport_19.jpg,Airport,0
AID\Airport\airport_192.jpg,Airport,0
AID\Airport\airport_193.jpg,Airport,0
AID\Airport\airport_194.jpg,Airport,0
AID\Airport\airport_195.jpg,Airport,0
AID\Airport\airport_196.jpg,Airport,0
AID\Airport\airport_198.jpg,Airport,0
AID\Airport\airport_199.jpg,Airport,0
AID\Airport\airport_2.jpg,Airport,0
AID\Airport\airport_200.jpg,Airport,0
AID\Airport\airport_201.jpg,Airport,0
AID\Airport\airport_202.jpg,Airport,0
AID\Airport\airport_203.jpg,Airport,0
AID\Airport\airport_205.jpg,Airport,0
AID\Airport\airport_206.jpg,Airport,0
AID\Airport\airport_207.jpg,Airport,0
AID\Airport\airport_208.jpg,Airport,0
AID\Airport\airport_209.jpg,Airport,0
AID\Airport\airport_21.jpg,Airport,0
AID\Airport\airport_210.jpg,Airport,0
AID\Airport\airport_211.jpg,Airport,0
AID\Airport\airport_212.jpg,Airport,0
AID\Airport\airport_213.jpg,Airport,0
AID\Airport\airport_214.jpg,Airport,0
AID\Airport\airport_215.jpg,Airport,0
AID\Airport\airport_216.jpg,Airport,0
AID\Airport\airport_217.jpg,Airport,0
AID\Airport\airport_218.jpg,Airport,0
